company_ntn,person_cnic,person_name,role,shareholding_percent
2587332-0,36302-9655462-7,Hussain Mughal,CEO/Director,60
3034184-5,61101-0232975-5,Zain Dar,CEO/Director,100
7717900-2,33100-2594524-7,Usman Chaudhry,CEO/Director,51
2340389-7,34603-9241395-9,Shahzad Butt,CEO/Director,60
2340522-8,42101-2663011-4,Sadia Sandhu,CEO/Director,51
2848445-5,34101-8731547-8,Mehwish Sheikh,CEO/Director,100
1347637-3,33100-1758125-7,Muhammad Bilawal Mughal,CEO/Director,51
4076021-2,35202-3058475-1,Muhammad Nauman Cheema,CEO/Director,51
2221401-6,17301-6993371-3,Muhammad Adnan Butt,CEO/Director,60
5227984-6,36302-7628109-9,Muhammad Usman Mir,CEO/Director,100
5568306-9,35202-8418405-9,Rizwan Malik,CEO/Director,60
4514470-4,61101-6620381-6,Amna Qureshi,CEO/Director,75
1356722-4,35202-0164135-3,Muhammad Salman Bhatti,CEO/Director,51
3271867-7,42101-6770016-1,Muhammad Awan,CEO/Director,51
7339604-8,34603-9170108-0,Rabia Dar,CEO/Director,51
9127380-0,35202-3150178-9,Salman Gondal,CEO/Director,75
9714971-1,42101-7252962-9,Waqas Sandhu,CEO/Director,75
9681904-1,42101-2379144-5,Rizwan Janjua,CEO/Director,51
7900310-7,42101-2411655-5,Muhammad Hassan Butt,CEO/Director,60
5347511-6,35202-0559927-8,Mehwish Rana,CEO/Director,75
2690276-9,35202-0098224-5,Bilawal Janjua,CEO/Director,51
1368255-1,42101-7758562-3,Ali Mughal,CEO/Director,51
5514854-3,42101-5135266-9,Muhammad Abdullah Janjua,CEO/Director,75
7465589-9,34603-3175649-9,Muhammad Salman Satti,CEO/Director,75
1853139-9,33100-4895446-1,Asad Tarar,CEO/Director,60
9379323-7,42101-4427055-7,Muhammad Mir,CEO/Director,51
5705649-4,37405-7317053-9,Muhammad Rizwan Chaudhry,CEO/Director,60
9420312-1,34101-6571945-9,Muhammad Mir,CEO/Director,51
3761939-0,33100-4990134-5,Fahad Janjua,CEO/Director,60
2261659-6,37405-1603520-8,Mehwish Butt,CEO/Director,75
2128398-5,33100-4886211-0,Rabia Chaudhry,CEO/Director,51
6385090-3,17301-3479093-7,Muhammad Ali Malik,CEO/Director,51
5183750-9,17301-6337579-1,Hussain Butt,CEO/Director,51
4298195-1,17301-9364406-5,Muhammad Farhan Rana,CEO/Director,51
8132317-8,36302-3642961-6,Hina Abbasi,CEO/Director,60
8728242-7,17301-0788114-7,Muhammad Tariq Abbasi,CEO/Director,51
9487710-9,37405-5388400-2,Maryam Awan,CEO/Director,51
1605742-0,34101-5877603-3,Muhammad Shahzad Gondal,CEO/Director,60
5203403-2,33100-5527661-1,Muhammad Hussain Abbasi,CEO/Director,100
7449298-2,17301-8319330-5,Muhammad Bilawal Raja,CEO/Director,75
3532064-0,37405-6049672-7,Bilawal Tarar,CEO/Director,100
4567959-2,37405-4675035-1,Hussain Malik,CEO/Director,60
9512472-9,17301-4051214-5,Kamran Dar,CEO/Director,75
6640838-4,61101-6066138-1,Farhan Awan,CEO/Director,51
7877630-5,37405-7710812-8,Rabia Mir,CEO/Director,60
6890128-7,17301-1617287-6,Maryam Dar,CEO/Director,75
7136872-1,36302-3315254-9,Danish Abbasi,CEO/Director,60
4982265-7,34603-0890460-7,Hassan Mir,CEO/Director,51
4227693-2,34603-3345780-8,Iqra Chaudhry,CEO/Director,75
7499268-5,34603-5693992-9,Ahmed Sandhu,CEO/Director,51
4708978-0,35202-5449563-5,Saad Warraich,CEO/Director,51
9847255-0,33100-4961588-5,Muhammad Imran Janjua,CEO/Director,100
3299665-7,34101-8405561-8,Nimra Raja,CEO/Director,75
7811955-9,42101-4367781-9,Hamza Gondal,CEO/Director,60
4704133-4,33100-1555307-8,Fatima Abbasi,CEO/Director,100
3216894-4,36302-4061867-1,Muhammad Usman Khan,CEO/Director,51
6559810-9,35202-0908433-4,Zainab Chaudhry,CEO/Director,75
2575956-0,37405-9810505-3,Muhammad Fahad Malik,CEO/Director,100
1076561-5,36302-2886669-1,Muhammad Nauman Sandhu,CEO/Director,100
2353214-5,42101-6347315-5,Muhammad Nauman Chaudhry,CEO/Director,60
5794980-4,34101-2705222-3,Muhammad Junaid Gondal,CEO/Director,60
1736857-0,35202-0576450-5,Muhammad Asad Gondal,CEO/Director,60
4662489-5,34101-1447168-5,Muhammad Shahzad Sheikh,CEO/Director,100
9486508-2,37405-9456440-1,Muhammad Umar Gondal,CEO/Director,51
7438039-1,33100-8833865-6,Sadia Sandhu,CEO/Director,51
1731875-9,33100-5813491-0,Sidra Abbasi,CEO/Director,100
6457962-5,36302-1535592-5,Kamran Khan,CEO/Director,75
6771420-2,34603-8406889-8,Mehwish Gondal,CEO/Director,100
2835951-6,37405-9417567-3,Muhammad Hassan Satti,CEO/Director,75
9903499-4,33100-4905052-3,Kamran Dar,CEO/Director,100
9898532-9,34603-6478627-2,Sidra Bhatti,CEO/Director,60
3723610-9,34603-9725927-9,Muhammad Umar Bhatti,CEO/Director,75
4567127-2,17301-3981484-7,Ahmed Dar,CEO/Director,75
2955780-7,37405-9523804-8,Kiran Malik,CEO/Director,51
4093026-5,35202-8243962-9,Shahzad Raja,CEO/Director,75
2426247-1,17301-7916815-7,Adnan Satti,CEO/Director,100
4711983-1,35202-3792219-3,Umar Janjua,CEO/Director,51
1415047-5,17301-9240630-7,Junaid Tarar,CEO/Director,100
7687594-0,33100-9413188-7,Ahmed Sheikh,CEO/Director,60
6685844-9,37405-4553942-9,Muhammad Shahzad Mir,CEO/Director,100
5709902-0,37405-3176244-5,Muhammad Waqas Abbasi,CEO/Director,60
4999726-0,37405-3160064-9,Salman Janjua,CEO/Director,75
5664250-2,35202-3332851-3,Muhammad Hamza Gondal,CEO/Director,51
6099414-9,37405-7007363-9,Muhammad Hamza Sandhu,CEO/Director,51
2204414-4,36302-7378962-0,Noor Mughal,CEO/Director,60
5658964-7,36302-0812554-3,Muhammad Mir,CEO/Director,60
4310116-4,36302-6871705-2,Iqra Bhatti,CEO/Director,100
2670187-7,36302-2423543-1,Saad Bhatti,CEO/Director,51
5994758-3,34101-7797585-5,Junaid Satti,CEO/Director,60
1268278-1,42101-1122801-8,Sobia Tarar,CEO/Director,51
6328275-3,35202-1353057-9,Bilawal Abbasi,CEO/Director,60
5281682-4,61101-5798757-4,Sidra Raja,CEO/Director,60
1087389-2,36302-8916947-2,Areeba Raja,CEO/Director,51
9610094-5,42101-2001341-3,Hassan Khan,CEO/Director,75
1328529-6,34603-8460242-3,Muhammad Usman Rana,CEO/Director,100
1392384-3,34101-8789263-4,Areeba Chaudhry,CEO/Director,100
8822454-8,37405-8012571-1,Muhammad Rizwan Mir,CEO/Director,100
6811116-3,37405-4643849-4,Sidra Khan,CEO/Director,51
4520560-2,34101-5827569-3,Salman Qureshi,CEO/Director,100
8136049-5,17301-5432761-4,Nimra Mughal,CEO/Director,60
8465774-1,33100-3429669-7,Muhammad Imran Mughal,CEO/Director,60
9525566-7,37405-9847741-3,Ahmed Butt,CEO/Director,75
5017690-3,42101-3002014-9,Bilawal Chaudhry,CEO/Director,60
7269805-1,33100-0405049-6,Hira Mughal,CEO/Director,75
8705538-4,34101-3204777-1,Muhammad Ahmed Abbasi,CEO/Director,75
3227750-2,33100-1668543-8,Sana Dar,CEO/Director,60
4661369-3,34101-7908867-1,Ali Chaudhry,CEO/Director,60
3030394-8,36302-2189094-3,Rizwan Cheema,CEO/Director,60
8631461-0,17301-9903795-0,Mehwish Rana,CEO/Director,100
2155018-6,61101-7445988-1,Hassan Raja,CEO/Director,60
4041488-1,61101-2652380-5,Hussain Raja,CEO/Director,100
4490409-2,61101-8274672-7,Farhan Rana,CEO/Director,100
6997199-5,37405-9874488-0,Aqsa Sheikh,CEO/Director,100
2257771-8,35202-5644044-7,Bilawal Awan,CEO/Director,75
7018893-7,33100-2584613-0,Hina Qureshi,CEO/Director,75
2687494-6,33100-7847665-2,Ayesha Abbasi,CEO/Director,51
5105930-8,34101-9771764-1,Muhammad Saad Mir,CEO/Director,100
4791455-5,17301-0070415-9,Adnan Sheikh,CEO/Director,100
7770464-9,36302-4178025-7,Muhammad Rizwan Cheema,CEO/Director,75
3427732-3,37405-2642593-9,Muhammad Ali Abbasi,CEO/Director,100
1312906-5,35202-9409622-7,Hussain Sandhu,CEO/Director,51
5076695-3,34101-7360751-5,Nauman Janjua,CEO/Director,100
9218851-7,36302-3558527-3,Fahad Chaudhry,CEO/Director,51
9233330-3,37405-7901302-9,Nauman Mughal,CEO/Director,60
3686417-8,37405-0647068-5,Muhammad Hamza Malik,CEO/Director,51
7007242-9,61101-5833350-3,Kamran Qureshi,CEO/Director,75
7752868-7,42101-6611787-0,Rabia Awan,CEO/Director,51
9702465-5,17301-2746291-3,Hussain Sandhu,CEO/Director,60
7843354-2,42101-0327672-1,Muhammad Sheikh,CEO/Director,75
3569546-4,37405-1829742-3,Ali Rana,CEO/Director,75
7029159-4,42101-9655543-5,Shahzad Janjua,CEO/Director,51
3754886-6,34101-0468527-6,Sana Warraich,CEO/Director,51
3485035-0,37405-5543663-7,Muhammad Mir,CEO/Director,75
6064787-1,35202-6383951-9,Bilal Janjua,CEO/Director,51
2917018-4,33100-6729286-7,Bilawal Rana,CEO/Director,75
7596809-1,36302-7950681-7,Muhammad Hussain Khan,CEO/Director,60
6212215-2,36302-8027091-3,Muhammad Bilawal Cheema,CEO/Director,51
9813286-7,37405-0970101-1,Hussain Sandhu,CEO/Director,75
3120520-2,36302-3021917-1,Muhammad Ahmed Gondal,CEO/Director,51
3732291-8,35202-3300998-1,Bilal Tarar,CEO/Director,100
9303327-7,37405-7495922-5,Usman Bhatti,CEO/Director,100
5643274-0,34101-9129982-2,Maryam Abbasi,CEO/Director,60
3524847-5,34101-4929654-5,Muhammad Usman Janjua,CEO/Director,60
8868189-9,34603-7002431-2,Hira Mir,CEO/Director,60
6287998-1,33100-5901824-8,Komal Khan,CEO/Director,75
2982660-4,61101-6014929-1,Hassan Chaudhry,CEO/Director,100
9194122-2,35202-6334365-1,Muhammad Saad Sandhu,CEO/Director,60
3460346-2,36302-5304761-1,Muhammad Junaid Khan,CEO/Director,75
1184715-0,33100-5530045-5,Muhammad Danish Butt,CEO/Director,60
8839323-8,17301-6916691-7,Hamza Khan,CEO/Director,51
9924753-1,33100-1695603-4,Sobia Mir,CEO/Director,100
9348511-5,17301-3795931-5,Muhammad Tariq Sandhu,CEO/Director,60
9162476-4,36302-1389118-6,Amna Sandhu,CEO/Director,100
6469627-8,35202-5573021-7,Hussain Mughal,CEO/Director,75
7573807-3,33100-8961152-9,Muhammad Nauman Bhatti,CEO/Director,100
5017091-5,33100-6317624-9,Faizan Abbasi,CEO/Director,100
5265882-0,35202-9416451-4,Aqsa Dar,CEO/Director,60
4697725-7,36302-7069970-9,Bilawal Satti,CEO/Director,100
6728821-6,35202-6741611-9,Bilal Qureshi,CEO/Director,60
9056639-5,35202-4943550-6,Kiran Satti,CEO/Director,51
7268692-7,34101-5392727-5,Fahad Dar,CEO/Director,60
5818068-4,33100-9151843-5,Adnan Sheikh,CEO/Director,100
1653242-2,35202-6010045-3,Imran Qureshi,CEO/Director,60
6814563-3,42101-7758194-1,Muhammad Farhan Butt,CEO/Director,51
5867615-6,17301-2026162-2,Nimra Tarar,CEO/Director,51
3540076-7,37405-1600785-1,Muhammad Ali Raja,CEO/Director,51
4356028-5,34603-1321860-3,Adnan Malik,CEO/Director,75
6902849-0,35202-6760256-1,Muhammad Nauman Malik,CEO/Director,100
9690704-3,36302-6003255-7,Muhammad Rizwan Abbasi,CEO/Director,51
4732274-5,42101-1826173-7,Muhammad Junaid Awan,CEO/Director,51
6776755-3,17301-8295568-7,Salman Abbasi,CEO/Director,100
1068050-8,34101-1923800-7,Muhammad Abdullah Butt,CEO/Director,100
7667554-5,36302-7092093-9,Saad Tarar,CEO/Director,100
7938432-4,61101-0881675-6,Mehwish Cheema,CEO/Director,75
8844615-7,35202-2847095-7,Hassan Raja,CEO/Director,60
2976289-4,34603-3700043-9,Muhammad Danish Qureshi,CEO/Director,51
9347199-0,17301-6194123-9,Hassan Raja,CEO/Director,51
3920445-5,37405-4039687-4,Hira Tarar,CEO/Director,60
7092404-4,61101-2228392-9,Usman Janjua,CEO/Director,100
9412695-3,37405-3784190-3,Muhammad Kamran Bhatti,CEO/Director,51
2697768-5,61101-6572768-2,Sana Bhatti,CEO/Director,51
6273147-0,42101-0408443-9,Muhammad Imran Sandhu,CEO/Director,51
7533369-2,34603-8814572-7,Ahmed Satti,CEO/Director,51
1764309-4,17301-5714913-2,Sana Tarar,CEO/Director,51
1373638-3,35202-1074936-7,Imran Sheikh,CEO/Director,60
4738693-1,42101-8994446-2,Rabia Warraich,CEO/Director,51
2210866-2,34603-3891874-1,Imran Sheikh,CEO/Director,60
5987483-9,17301-4192003-1,Zain Gondal,CEO/Director,60
9147306-5,42101-8403694-7,Muhammad Tarar,CEO/Director,75
8591463-6,61101-9223799-5,Ahmed Warraich,CEO/Director,60
8446138-7,34101-6821390-3,Ali Dar,CEO/Director,100
2556616-5,35202-2754521-9,Muhammad Sheikh,CEO/Director,75
6455645-4,17301-2826294-7,Shahzad Raja,CEO/Director,60
5903561-3,34101-6410750-3,Muhammad Zain Mughal,CEO/Director,60
7024208-5,33100-1610522-5,Hamza Malik,CEO/Director,75
3331413-2,34603-0191796-1,Muhammad Abdullah Malik,CEO/Director,75
5848953-8,42101-7131717-5,Muhammad Faizan Mughal,CEO/Director,100
2402429-8,61101-3503905-2,Komal Awan,CEO/Director,60
8617190-4,36302-6152521-5,Muhammad Faizan Tarar,CEO/Director,75
3196590-7,34101-1008206-1,Zain Mughal,CEO/Director,75
2432069-1,36302-2383319-3,Muhammad Tariq Malik,CEO/Director,51
6096482-3,37405-7057267-1,Muhammad Mir,CEO/Director,100
8886993-5,35202-1154128-1,Farhan Sandhu,CEO/Director,60
9981430-6,34603-5988342-8,Maryam Qureshi,CEO/Director,100
7781962-9,35202-3995517-4,Sobia Tarar,CEO/Director,100
2587316-4,34603-2535969-5,Muhammad Tariq Satti,CEO/Director,75
5759696-2,34101-0901849-1,Waqas Mir,CEO/Director,51
3797829-3,17301-3936539-8,Areeba Butt,CEO/Director,75
5778814-1,42101-8781189-8,Mehwish Malik,CEO/Director,100
5111627-2,42101-7758294-2,Maryam Janjua,CEO/Director,60
3278655-0,36302-0797123-5,Asad Tarar,CEO/Director,51
1183635-2,34603-5893712-4,Areeba Janjua,CEO/Director,51
6094858-5,37405-5944902-7,Adnan Sheikh,CEO/Director,100
6054608-6,37405-1373692-1,Muhammad Usman Rana,CEO/Director,51
1733456-1,42101-2064752-2,Saba Mughal,CEO/Director,75
2738624-9,33100-7304489-0,Aqsa Qureshi,CEO/Director,51
1988751-2,37405-9656027-5,Muhammad Hassan Janjua,CEO/Director,51
6100499-7,34101-1364727-9,Ahmed Dar,CEO/Director,51
2949573-5,33100-1381184-8,Zainab Warraich,CEO/Director,75
2055499-8,34101-9272663-5,Tariq Mir,CEO/Director,60
2475192-6,36302-0093857-8,Saba Raja,CEO/Director,100
6399720-2,36302-5581295-5,Usman Mughal,CEO/Director,60
6297984-7,35202-8673997-1,Shahzad Abbasi,CEO/Director,60
9799245-7,35202-7658250-3,Muhammad Tariq Sandhu,CEO/Director,75
1020794-9,36302-0342610-0,Nimra Abbasi,CEO/Director,100
6420526-1,17301-3068913-5,Ahmed Bhatti,CEO/Director,75
2112894-0,37405-7109116-8,Zainab Chaudhry,CEO/Director,100
8992780-9,33100-9436678-1,Muhammad Umar Sheikh,CEO/Director,75
4956345-7,35202-9943409-3,Muhammad Zain Rana,CEO/Director,60
2791865-0,17301-5023409-1,Danish Awan,CEO/Director,51
9447445-9,34101-6753995-3,Muhammad Zain Warraich,CEO/Director,75
9215405-5,61101-6959196-1,Ahmed Satti,CEO/Director,60
2457271-1,34603-6986219-7,Ahmed Warraich,CEO/Director,75
6111555-7,35202-0773122-3,Muhammad Asad Cheema,CEO/Director,75
7478524-7,34603-8777664-9,Muhammad Imran Sandhu,CEO/Director,100
6335933-0,34101-2634082-0,Hira Malik,CEO/Director,51
5336310-5,35202-0025728-9,Muhammad Abdullah Bhatti,CEO/Director,100
3194682-1,42101-5777648-9,Hassan Bhatti,CEO/Director,60
4314833-3,34101-9741064-5,Muhammad Asad Warraich,CEO/Director,100
2550778-5,37405-5666728-1,Bilal Butt,CEO/Director,75
9807007-1,37405-3702036-9,Muhammad Danish Bhatti,CEO/Director,60
2407767-4,36302-4001712-6,Sidra Sandhu,CEO/Director,60
7645297-1,34603-6488336-7,Junaid Warraich,CEO/Director,75
3794256-5,37405-6309581-8,Areeba Warraich,CEO/Director,100
3287967-0,17301-3816025-2,Kiran Mughal,CEO/Director,51
1985029-9,34101-4208594-5,Muhammad Bilawal Abbasi,CEO/Director,60
9670740-0,17301-8642825-5,Muhammad Saad Rana,CEO/Director,100
6225759-7,33100-1638903-6,Sidra Abbasi,CEO/Director,60
8945157-9,35202-1679310-1,Ahmed Warraich,CEO/Director,100
1078355-2,61101-5400676-0,Hina Qureshi,CEO/Director,51
4025813-4,34603-0189699-9,Muhammad Danish Awan,CEO/Director,60
2610337-8,34603-0035518-5,Muhammad Kamran Janjua,CEO/Director,100
8595530-7,33100-9776709-9,Abdullah Sheikh,CEO/Director,51
7532507-8,35202-9868631-3,Umar Sandhu,CEO/Director,51
3209036-3,36302-4160391-3,Muhammad Asad Gondal,CEO/Director,100
5582716-0,34603-3823736-5,Muhammad Bilal Warraich,CEO/Director,60
6956291-1,61101-8315168-5,Muhammad Shahzad Dar,CEO/Director,75
8506201-2,61101-4644695-2,Hina Satti,CEO/Director,51
2280613-6,42101-0277355-9,Ali Chaudhry,CEO/Director,100
5022876-0,34603-5551731-3,Muhammad Satti,CEO/Director,51
6222838-8,37405-3009903-9,Ali Cheema,CEO/Director,75
3290917-3,35202-8962879-3,Hussain Sandhu,CEO/Director,51
6249791-4,34603-4251467-8,Iqra Bhatti,CEO/Director,75
9510990-6,36302-0401572-1,Faizan Qureshi,CEO/Director,51
6226357-9,34101-4491122-3,Farhan Awan,CEO/Director,100
1930205-4,42101-4739617-6,Zainab Satti,CEO/Director,51
3579907-2,42101-3035875-1,Shahzad Abbasi,CEO/Director,75
4042359-7,61101-2438743-8,Amna Chaudhry,CEO/Director,60
6088466-0,33100-2256760-0,Noor Mughal,CEO/Director,100
1272482-7,42101-0225575-8,Iqra Tarar,CEO/Director,75
1213826-9,17301-0642608-5,Faizan Janjua,CEO/Director,60
3287375-7,35202-0230776-0,Iqra Gondal,CEO/Director,60
7412807-1,17301-6379454-1,Hassan Malik,CEO/Director,60
3486429-6,35202-4214364-1,Faizan Butt,CEO/Director,100
8667522-0,17301-9596799-0,Komal Qureshi,CEO/Director,75
3711326-8,61101-0407520-8,Ayesha Tarar,CEO/Director,60
9592114-7,17301-1917952-7,Muhammad Imran Mir,CEO/Director,100
9201757-9,17301-1529530-5,Muhammad Asad Khan,CEO/Director,51
8716647-9,17301-4494384-7,Bilawal Chaudhry,CEO/Director,100
5344172-5,61101-6640131-9,Muhammad Adnan Warraich,CEO/Director,100
5784392-6,17301-2979134-1,Muhammad Bilal Chaudhry,CEO/Director,60
6729860-5,35202-9773604-1,Junaid Mir,CEO/Director,100
8547727-6,37405-2359217-1,Muhammad Imran Cheema,CEO/Director,100
9851676-6,42101-9551056-0,Maryam Dar,CEO/Director,60
6551508-7,36302-6942581-1,Hassan Mir,CEO/Director,75
4436986-8,36302-9266722-9,Muhammad Farhan Janjua,CEO/Director,51
5751574-7,17301-8817072-9,Muhammad Abdullah Dar,CEO/Director,60
8244969-3,17301-8644770-7,Zain Dar,CEO/Director,51
4107114-0,35202-8325371-9,Muhammad Saad Bhatti,CEO/Director,100
8257716-3,34603-3996203-3,Muhammad Umar Rana,CEO/Director,60
9839624-7,33100-3255345-6,Sana Warraich,CEO/Director,60
7833683-3,17301-0825501-7,Kamran Cheema,CEO/Director,60
9249552-0,34101-5124673-3,Muhammad Zain Satti,CEO/Director,51
9501664-5,34603-8130715-5,Muhammad Salman Sheikh,CEO/Director,51
8974278-9,37405-0567833-7,Nauman Qureshi,CEO/Director,100
5832112-5,61101-5781980-5,Muhammad Ali Raja,CEO/Director,75
7667679-9,35202-5052558-1,Muhammad Hassan Dar,CEO/Director,60
5992911-0,42101-0347125-3,Muhammad Asad Qureshi,CEO/Director,100
6830367-7,37405-1795735-9,Shahzad Awan,CEO/Director,60
6116164-9,36302-4269803-0,Fatima Janjua,CEO/Director,51
8362104-9,37405-9352094-2,Sadia Satti,CEO/Director,75
3859551-0,36302-4454342-8,Sadia Chaudhry,CEO/Director,60
3531906-1,42101-6398057-9,Zain Cheema,CEO/Director,75
2685037-1,36302-2955504-4,Sana Bhatti,CEO/Director,100
5990503-7,34101-1462798-1,Muhammad Shahzad Sheikh,CEO/Director,60
1554419-9,34101-9648159-1,Muhammad Imran Raja,CEO/Director,75
8596330-7,33100-2523621-5,Bilal Mir,CEO/Director,60
7975433-8,61101-0275206-1,Muhammad Fahad Janjua,CEO/Director,60
8273230-0,61101-5887222-8,Areeba Rana,CEO/Director,75
1127809-1,42101-3451466-3,Muhammad Zain Mughal,CEO/Director,100
2027471-4,37405-5692434-3,Muhammad Fahad Gondal,CEO/Director,51
4579805-3,42101-1106742-3,Kamran Dar,CEO/Director,75
3465461-4,35202-4714582-0,Kiran Khan,CEO/Director,100
3911299-3,34603-8302591-3,Zain Butt,CEO/Director,75
5692106-4,42101-2396186-3,Muhammad Kamran Satti,CEO/Director,100
4618218-8,33100-2738562-5,Muhammad Shahzad Abbasi,CEO/Director,60
6437131-2,36302-3923503-1,Muhammad Hassan Bhatti,CEO/Director,100
1227426-8,61101-6675877-9,Usman Cheema,CEO/Director,100
8248368-0,61101-1949346-2,Noor Butt,CEO/Director,60
1138996-7,17301-7029025-5,Muhammad Faizan Bhatti,CEO/Director,100
3083470-4,17301-7690847-1,Abdullah Mughal,CEO/Director,100
8725657-7,34603-9168947-3,Bilawal Sheikh,CEO/Director,51
6609103-5,34101-4779868-1,Salman Sheikh,CEO/Director,75
2679489-0,42101-9837369-2,Kiran Chaudhry,CEO/Director,100
2613554-6,17301-0580006-2,Hira Mir,CEO/Director,100
7790607-0,37405-1778720-2,Maryam Abbasi,CEO/Director,51
5186817-4,34603-8799404-7,Muhammad Ali Satti,CEO/Director,51
3530642-9,42101-8414431-4,Saba Cheema,CEO/Director,51
2085284-1,35202-6028170-6,Hira Mir,CEO/Director,51
8136123-2,61101-9979756-9,Nauman Mughal,CEO/Director,60
4125819-9,17301-6364489-2,Sidra Bhatti,CEO/Director,100
3901552-4,36302-4838692-7,Ahmed Janjua,CEO/Director,51
8752396-4,34101-6957810-8,Saba Butt,CEO/Director,100
8151321-9,34603-4208960-3,Waqas Janjua,CEO/Director,100
3115443-0,37405-2315755-6,Fatima Gondal,CEO/Director,100
4750072-5,37405-0552905-3,Hussain Butt,CEO/Director,51
8484990-3,42101-0740547-1,Nauman Khan,CEO/Director,75
1052952-3,61101-4434464-4,Iqra Abbasi,CEO/Director,60
3936603-6,61101-9461807-7,Saad Raja,CEO/Director,100
3240645-7,33100-7142761-1,Faizan Tarar,CEO/Director,100
4351237-5,61101-5553632-2,Sadia Sheikh,CEO/Director,51
5990333-2,33100-2110053-9,Imran Sandhu,CEO/Director,51
6200977-4,42101-6285494-3,Hussain Awan,CEO/Director,100
4029719-6,37405-5188825-5,Muhammad Bilal Butt,CEO/Director,60
5478953-3,33100-7896818-5,Muhammad Tariq Awan,CEO/Director,51
6447457-3,42101-1839062-3,Hamza Gondal,CEO/Director,100
9900732-1,33100-1567773-3,Muhammad Hussain Tarar,CEO/Director,100
5346614-9,33100-8838297-3,Muhammad Shahzad Sheikh,CEO/Director,51
1251107-3,17301-8096393-8,Hina Abbasi,CEO/Director,51
8771452-9,34603-0037118-9,Abdullah Butt,CEO/Director,100
6512720-5,34603-9562088-2,Sadia Sheikh,CEO/Director,75
1427638-7,61101-5965692-7,Muhammad Tariq Sheikh,CEO/Director,75
8609639-9,33100-6771150-4,Sidra Qureshi,CEO/Director,51
8117755-6,34101-2201662-5,Muhammad Adnan Warraich,CEO/Director,51
3826669-2,34101-4235423-4,Sadia Qureshi,CEO/Director,100
1859875-0,34101-4217065-6,Sidra Satti,CEO/Director,100
7408365-6,35202-7028244-9,Tariq Dar,CEO/Director,51
1549646-3,61101-8266084-4,Zainab Janjua,CEO/Director,75
7033749-4,35202-5116792-9,Bilawal Sandhu,CEO/Director,60
3284907-3,35202-1595985-9,Muhammad Junaid Cheema,CEO/Director,75
4222058-4,35202-9639607-5,Ahmed Khan,CEO/Director,100
2022425-5,36302-2196451-5,Saad Satti,CEO/Director,100
8761715-9,37405-2813594-7,Muhammad Saad Gondal,CEO/Director,51
3702106-7,37405-3020028-2,Hina Bhatti,CEO/Director,100
8550552-5,33100-6322416-5,Faizan Dar,CEO/Director,60
1562384-2,17301-7724414-9,Muhammad Usman Butt,CEO/Director,100
9494403-4,33100-5957883-9,Nauman Raja,CEO/Director,51
6780717-0,42101-9819149-5,Muhammad Salman Satti,CEO/Director,60
6248048-1,34603-0636187-3,Hussain Butt,CEO/Director,51
1157507-7,36302-2464387-9,Hamza Cheema,CEO/Director,51
4663252-1,17301-8941979-5,Muhammad Usman Bhatti,CEO/Director,75
8274757-5,42101-6405050-9,Hassan Qureshi,CEO/Director,75
